sku,product_name,month,year,units_sold,revenue
SKU-019,Lubricant Oil S,Apr,2024,367,26299.84
SKU-020,Safety Valve T,Apr,2024,394,26801.06
SKU-001,Industrial Bearing A,May,2024,168,10135.77
SKU-002,Hydraulic Pump B,May,2024,418,10229.17
SKU-003,Steel Plate C,May,2024,406,30755.07
SKU-004,Copper Wire D,May,2024,343,28268.79
SKU-005,Aluminum Sheet E,May,2024,412,27709.77
SKU-006,Rubber Gasket F,May,2024,211,13543.84
SKU-007,Circuit Board G,May,2024,329,27849.3
SKU-008,Motor Assembly H,May,2024,314,13898.35
SKU-009,Valve Kit I,May,2024,399,18047.87
SKU-010,Filter Element J,May,2024,238,6852.15
SKU-011,Gear Box K,May,2024,293,4109.32
SKU-012,Conveyor Belt L,May,2024,421,12286.18
SKU-013,Sensor Module M,May,2024,222,2890.74
SKU-014,Control Panel N,May,2024,127,3695.48
SKU-015,Pneumatic Cylinder O,May,2024,111,8305.42
SKU-016,Heat Exchanger P,May,2024,134,6670.03
SKU-017,Compressor Unit Q,May,2024,257,15677.23
SKU-018,Drive Belt R,May,2024,219,11299.19
SKU-019,Lubricant Oil S,May,2024,431,23392.67
SKU-020,Safety Valve T,May,2024,236,16374.84
SKU-001,Industrial Bearing A,Jun,2024,345,9075.13
SKU-002,Hydraulic Pump B,Jun,2024,154,9282.54
SKU-003,Steel Plate C,Jun,2024,313,13524.56
SKU-004,Copper Wire D,Jun,2024,382,28698.96
SKU-005,Aluminum Sheet E,Jun,2024,128,7848.82
SKU-006,Rubber Gasket F,Jun,2024,156,2635.53
SKU-007,Circuit Board G,Jun,2024,303,21374.52
SKU-008,Motor Assembly H,Jun,2024,162,4945.47
SKU-009,Valve Kit I,Jun,2024,212,10892.71
SKU-010,Filter Element J,Jun,2024,181,7798.64
SKU-011,Gear Box K,Jun,2024,266,12246.78
SKU-012,Conveyor Belt L,Jun,2024,141,6292.4
SKU-013,Sensor Module M,Jun,2024,433,8486.1
SKU-014,Control Panel N,Jun,2024,427,31218.82
SKU-015,Pneumatic Cylinder O,Jun,2024,152,12108.56
SKU-016,Heat Exchanger P,Jun,2024,241,5918.37
SKU-017,Compressor Unit Q,Jun,2024,393,18627.6
SKU-018,Drive Belt R,Jun,2024,342,26651.07
SKU-019,Lubricant Oil S,Jun,2024,196,7835.21
SKU-020,Safety Valve T,Jun,2024,334,10596.89
SKU-001,Industrial Bearing A,Jul,2024,312,10352.34
SKU-002,Hydraulic Pump B,Jul,2024,364,22016.78
SKU-003,Steel Plate C,Jul,2024,329,7804.79
SKU-004,Copper Wire D,Jul,2024,231,6533.45
SKU-005,Aluminum Sheet E,Jul,2024,109,5939.47
SKU-006,Rubber Gasket F,Jul,2024,357,6040.23
SKU-007,Circuit Board G,Jul,2024,240,3994.68
SKU-008,Motor Assembly H,Jul,2024,379,17838.46
SKU-009,Valve Kit I,Jul,2024,351,8393.77
SKU-010,Filter Element J,Jul,2024,340,6224.75
SKU-011,Gear Box K,Jul,2024,175,3056.86
SKU-012,Conveyor Belt L,Jul,2024,114,7005.63
SKU-013,Sensor Module M,Jul,2024,200,8354.75
SKU-014,Control Panel N,Jul,2024,371,11260.08
SKU-015,Pneumatic Cylinder O,Jul,2024,384,5906.41
SKU-016,Heat Exchanger P,Jul,2024,121,5190.15
SKU-017,Compressor Unit Q,Jul,2024,378,20215.04
SKU-018,Drive Belt R,Jul,2024,241,19344.16
SKU-019,Lubricant Oil S,Jul,2024,184,11234.14
SKU-020,Safety Valve T,Jul,2024,240,7153.14
SKU-001,Industrial Bearing A,Aug,2024,293,6442.68
SKU-002,Hydraulic Pump B,Aug,2024,242,11047.01
SKU-003,Steel Plate C,Aug,2024,121,1594.22
SKU-004,Copper Wire D,Aug,2024,413,35058.72
SKU-005,Aluminum Sheet E,Aug,2024,136,2422.35
SKU-006,Rubber Gasket F,Aug,2024,196,9638.62
SKU-007,Circuit Board G,Aug,2024,152,12184.52
SKU-008,Motor Assembly H,Aug,2024,119,9073.4
SKU-009,Valve Kit I,Aug,2024,279,9252.08
SKU-010,Filter Element J,Aug,2024,316,23051.1
SKU-011,Gear Box K,Aug,2024,243,13813.73
SKU-012,Conveyor Belt L,Aug,2024,364,4756.45
SKU-013,Sensor Module M,Aug,2024,377,12895.27
SKU-014,Control Panel N,Aug,2024,138,11118.99
SKU-015,Pneumatic Cylinder O,Aug,2024,153,4846.09
SKU-016,Heat Exchanger P,Aug,2024,139,9219.2
SKU-017,Compressor Unit Q,Aug,2024,165,5320.47
SKU-018,Drive Belt R,Aug,2024,404,11219.34
SKU-019,Lubricant Oil S,Aug,2024,265,7224.11
SKU-020,Safety Valve T,Aug,2024,223,10958.7
SKU-001,Industrial Bearing A,Sep,2024,224,17502.66
SKU-002,Hydraulic Pump B,Sep,2024,114,2187.85
SKU-003,Steel Plate C,Sep,2024,319,23168.25
SKU-004,Copper Wire D,Sep,2024,110,1403.28
SKU-005,Aluminum Sheet E,Sep,2024,157,9214.44
SKU-006,Rubber Gasket F,Sep,2024,231,5593.59
SKU-007,Circuit Board G,Sep,2024,330,17323.95
SKU-008,Motor Assembly H,Sep,2024,321,17066.21
SKU-009,Valve Kit I,Sep,2024,147,2639.41
SKU-010,Filter Element J,Sep,2024,168,8745.29
SKU-011,Gear Box K,Sep,2024,290,15872.26
SKU-012,Conveyor Belt L,Sep,2024,167,7291.14
SKU-013,Sensor Module M,Sep,2024,109,3798.51
SKU-014,Control Panel N,Sep,2024,108,8388.58
SKU-015,Pneumatic Cylinder O,Sep,2024,201,12451.92
SKU-016,Heat Exchanger P,Sep,2024,142,5416.12
SKU-017,Compressor Unit Q,Sep,2024,395,30256.91
SKU-018,Drive Belt R,Sep,2024,311,25845.09
SKU-019,Lubricant Oil S,Sep,2024,171,13614.66
SKU-020,Safety Valve T,Sep,2024,217,16314.91
SKU-001,Industrial Bearing A,Oct,2024,190,14516.51
SKU-002,Hydraulic Pump B,Oct,2024,103,2626.88
SKU-003,Steel Plate C,Oct,2024,280,19382.45
SKU-004,Copper Wire D,Oct,2024,324,22894.5
SKU-005,Aluminum Sheet E,Oct,2024,231,7355.83
SKU-006,Rubber Gasket F,Oct,2024,151,6075.38
SKU-007,Circuit Board G,Oct,2024,110,8222.28
SKU-008,Motor Assembly H,Oct,2024,216,5825.31
SKU-009,Valve Kit I,Oct,2024,352,13323.28
SKU-010,Filter Element J,Oct,2024,219,6276.97
SKU-011,Gear Box K,Oct,2024,199,8236.37
SKU-012,Conveyor Belt L,Oct,2024,248,18641.07
SKU-013,Sensor Module M,Oct,2024,248,9413.61
SKU-014,Control Panel N,Oct,2024,380,15761.14
SKU-015,Pneumatic Cylinder O,Oct,2024,396,14457.31
SKU-016,Heat Exchanger P,Oct,2024,105,2190.54
SKU-017,Compressor Unit Q,Oct,2024,238,6056.19
SKU-018,Drive Belt R,Oct,2024,240,3665.68
SKU-019,Lubricant Oil S,Oct,2024,431,18966.53
SKU-020,Safety Valve T,Oct,2024,268,11829.13
SKU-001,Industrial Bearing A,Nov,2024,395,8249.31
SKU-002,Hydraulic Pump B,Nov,2024,434,11405.83
SKU-003,Steel Plate C,Nov,2024,118,7538.66
SKU-004,Copper Wire D,Nov,2024,92,4617.87
SKU-005,Aluminum Sheet E,Nov,2024,411,25604.13
SKU-006,Rubber Gasket F,Nov,2024,208,8092.46
SKU-007,Circuit Board G,Nov,2024,133,10812.02
SKU-008,Motor Assembly H,Nov,2024,288,16611.48
SKU-009,Valve Kit I,Nov,2024,165,10672.56
SKU-010,Filter Element J,Nov,2024,270,13301.92
SKU-011,Gear Box K,Nov,2024,335,12109.67
SKU-012,Conveyor Belt L,Nov,2024,267,14069.54
SKU-013,Sensor Module M,Nov,2024,206,8854.37
SKU-014,Control Panel N,Nov,2024,317,19528.96
SKU-015,Pneumatic Cylinder O,Nov,2024,196,11196.47
SKU-016,Heat Exchanger P,Nov,2024,271,11365.86
SKU-017,Compressor Unit Q,Nov,2024,92,3176.85
SKU-018,Drive Belt R,Nov,2024,216,9432.05
SKU-019,Lubricant Oil S,Nov,2024,436,24626.57
SKU-020,Safety Valve T,Nov,2024,283,13077.9
SKU-001,Industrial Bearing A,Dec,2024,367,22564.25
SKU-002,Hydraulic Pump B,Dec,2024,409,19143.65
SKU-003,Steel Plate C,Dec,2024,199,11993.07
SKU-004,Copper Wire D,Dec,2024,270,13464.97
SKU-005,Aluminum Sheet E,Dec,2024,476,17517.35
SKU-006,Rubber Gasket F,Dec,2024,240,14706.64
SKU-007,Circuit Board G,Dec,2024,234,16608.34
SKU-008,Motor Assembly H,Dec,2024,186,2654.38
SKU-009,Valve Kit I,Dec,2024,246,20623.5
SKU-010,Filter Element J,Dec,2024,470,34829.81
SKU-011,Gear Box K,Dec,2024,140,6372.47
SKU-012,Conveyor Belt L,Dec,2024,448,11915.26
SKU-013,Sensor Module M,Dec,2024,331,16001.32
SKU-014,Control Panel N,Dec,2024,244,5660.54
SKU-015,Pneumatic Cylinder O,Dec,2024,98,7567.35
SKU-016,Heat Exchanger P,Dec,2024,160,11029.68
SKU-017,Compressor Unit Q,Dec,2024,230,5807.91
SKU-018,Drive Belt R,Dec,2024,414,19118.46
SKU-019,Lubricant Oil S,Dec,2024,438,13388.29
SKU-020,Safety Valve T,Dec,2024,170,7750.89
SKU-001,Industrial Bearing A,Jan,2025,342,20827.59
SKU-002,Hydraulic Pump B,Jan,2025,395,21989.77
SKU-003,Steel Plate C,Jan,2025,330,18782.71
SKU-004,Copper Wire D,Jan,2025,365,15855.13
SKU-005,Aluminum Sheet E,Jan,2025,388,17393.55
SKU-006,Rubber Gasket F,Jan,2025,173,11489.8
SKU-007,Circuit Board G,Jan,2025,348,15705.26
SKU-008,Motor Assembly H,Jan,2025,222,16292.59
SKU-009,Valve Kit I,Jan,2025,238,16189.12
SKU-010,Filter Element J,Jan,2025,373,17767.21
SKU-011,Gear Box K,Jan,2025,218,7065.01
SKU-012,Conveyor Belt L,Jan,2025,128,8221.7
SKU-013,Sensor Module M,Jan,2025,216,6955.06
SKU-014,Control Panel N,Jan,2025,262,20238.04
SKU-015,Pneumatic Cylinder O,Jan,2025,130,2929.18
SKU-016,Heat Exchanger P,Jan,2025,213,8577.52
SKU-017,Compressor Unit Q,Jan,2025,170,10831.62
SKU-018,Drive Belt R,Jan,2025,120,5109.35
SKU-019,Lubricant Oil S,Jan,2025,268,13892.93
SKU-020,Safety Valve T,Jan,2025,315,5359.49
SKU-001,Industrial Bearing A,Feb,2025,331,13483.97
SKU-002,Hydraulic Pump B,Feb,2025,425,34463.04
SKU-003,Steel Plate C,Feb,2025,101,7535.92
SKU-004,Copper Wire D,Feb,2025,420,16832.6
SKU-005,Aluminum Sheet E,Feb,2025,93,7518.94
SKU-006,Rubber Gasket F,Feb,2025,260,17453.01
SKU-007,Circuit Board G,Feb,2025,330,17001.93
SKU-008,Motor Assembly H,Feb,2025,403,28407.65
SKU-009,Valve Kit I,Feb,2025,215,10297.78
SKU-010,Filter Element J,Feb,2025,245,10804.04
SKU-011,Gear Box K,Feb,2025,105,4272.68
SKU-012,Conveyor Belt L,Feb,2025,322,20931.01
SKU-013,Sensor Module M,Feb,2025,358,28341.7
SKU-014,Control Panel N,Feb,2025,447,22897.11
SKU-015,Pneumatic Cylinder O,Feb,2025,315,17454.85
SKU-016,Heat Exchanger P,Feb,2025,104,1932.96
SKU-017,Compressor Unit Q,Feb,2025,335,7483.3
SKU-018,Drive Belt R,Feb,2025,354,9089.08
SKU-019,Lubricant Oil S,Feb,2025,239,9556.42
SKU-020,Safety Valve T,Feb,2025,211,9593.26
SKU-001,Industrial Bearing A,Mar,2025,293,19832.92
SKU-002,Hydraulic Pump B,Mar,2025,319,10422.88
SKU-003,Steel Plate C,Mar,2025,344,10591.65
SKU-004,Copper Wire D,Mar,2025,141,6570.21
SKU-005,Aluminum Sheet E,Mar,2025,415,6754.63
SKU-006,Rubber Gasket F,Mar,2025,302,8684.34
SKU-007,Circuit Board G,Mar,2025,134,9264.68
SKU-008,Motor Assembly H,Mar,2025,116,7793.1
SKU-009,Valve Kit I,Mar,2025,240,6468.88
SKU-010,Filter Element J,Mar,2025,104,5984.87
SKU-011,Gear Box K,Mar,2025,235,5087.99
SKU-012,Conveyor Belt L,Mar,2025,160,8542.05
SKU-013,Sensor Module M,Mar,2025,222,10259.72
SKU-014,Control Panel N,Mar,2025,246,16752.63
SKU-015,Pneumatic Cylinder O,Mar,2025,192,10834.03
SKU-016,Heat Exchanger P,Mar,2025,160,11022.39
SKU-017,Compressor Unit Q,Mar,2025,190,15664.03
SKU-018,Drive Belt R,Mar,2025,157,8549.38
SKU-019,Lubricant Oil S,Mar,2025,278,15080.18
SKU-020,Safety Valve T,Mar,2025,317,13078.61
SKU-001,Industrial Bearing A,Apr,2025,218,3926.12
SKU-002,Hydraulic Pump B,Apr,2025,246,4892.41
SKU-003,Steel Plate C,Apr,2025,283,20983.39
SKU-004,Copper Wire D,Apr,2025,468,33181.56
SKU-005,Aluminum Sheet E,Apr,2025,446,30881.51
SKU-006,Rubber Gasket F,Apr,2025,310,15848.45
SKU-007,Circuit Board G,Apr,2025,325,5687.29
SKU-008,Motor Assembly H,Apr,2025,307,4119.11
SKU-009,Valve Kit I,Apr,2025,356,25674.36
SKU-010,Filter Element J,Apr,2025,162,7116.73
SKU-011,Gear Box K,Apr,2025,320,18745.57
SKU-012,Conveyor Belt L,Apr,2025,381,24300.13
SKU-013,Sensor Module M,Apr,2025,365,9223.52
SKU-014,Control Panel N,Apr,2025,419,34566.18
SKU-015,Pneumatic Cylinder O,Apr,2025,263,15031.41
SKU-016,Heat Exchanger P,Apr,2025,429,29455.79
SKU-017,Compressor Unit Q,Apr,2025,384,16926.39
SKU-018,Drive Belt R,Apr,2025,463,14796.87
SKU-019,Lubricant Oil S,Apr,2025,247,17963.82
SKU-020,Safety Valve T,Apr,2025,149,4875.62
SKU-001,Industrial Bearing A,May,2025,388,11709.88
SKU-002,Hydraulic Pump B,May,2025,397,21364.2
SKU-003,Steel Plate C,May,2025,343,12652.84
SKU-004,Copper Wire D,May,2025,417,30938.93
SKU-005,Aluminum Sheet E,May,2025,216,10335.03
SKU-006,Rubber Gasket F,May,2025,326,22931.77
SKU-007,Circuit Board G,May,2025,318,10422.53
SKU-008,Motor Assembly H,May,2025,482,30527.87
SKU-009,Valve Kit I,May,2025,276,14571.38
SKU-010,Filter Element J,May,2025,430,34930.85
SKU-011,Gear Box K,May,2025,154,4619.74
SKU-012,Conveyor Belt L,May,2025,360,17251.88
SKU-013,Sensor Module M,May,2025,254,15892.57
SKU-014,Control Panel N,May,2025,414,18626.96
SKU-015,Pneumatic Cylinder O,May,2025,110,2117.1
SKU-016,Heat Exchanger P,May,2025,241,10078.4
SKU-017,Compressor Unit Q,May,2025,255,8848.48
SKU-018,Drive Belt R,May,2025,472,18527.88
SKU-019,Lubricant Oil S,May,2025,454,23150.3
SKU-020,Safety Valve T,May,2025,372,31529.15
SKU-001,Industrial Bearing A,Jun,2025,467,17037.27
SKU-002,Hydraulic Pump B,Jun,2025,404,12985.14
SKU-003,Steel Plate C,Jun,2025,269,7858.57
SKU-004,Copper Wire D,Jun,2025,230,8136.76
SKU-005,Aluminum Sheet E,Jun,2025,458,37298.89
SKU-006,Rubber Gasket F,Jun,2025,225,5937.01
SKU-007,Circuit Board G,Jun,2025,423,13767.05
SKU-008,Motor Assembly H,Jun,2025,493,41068.88
SKU-009,Valve Kit I,Jun,2025,451,25151.07
SKU-010,Filter Element J,Jun,2025,169,12314.28
SKU-011,Gear Box K,Jun,2025,299,8668.77
SKU-012,Conveyor Belt L,Jun,2025,221,7605.58
SKU-013,Sensor Module M,Jun,2025,457,9906.51
SKU-014,Control Panel N,Jun,2025,133,11057.14
SKU-015,Pneumatic Cylinder O,Jun,2025,470,15829.56
SKU-016,Heat Exchanger P,Jun,2025,186,10926.67
SKU-017,Compressor Unit Q,Jun,2025,428,8533.29
SKU-018,Drive Belt R,Jun,2025,111,6007.28
SKU-019,Lubricant Oil S,Jun,2025,414,19543.61
SKU-020,Safety Valve T,Jun,2025,329,8510.03
SKU-001,Industrial Bearing A,Jul,2025,114,3511.73
SKU-002,Hydraulic Pump B,Jul,2025,349,7249.19
SKU-003,Steel Plate C,Jul,2025,122,5069.26
SKU-004,Copper Wire D,Jul,2025,126,6846.09
SKU-005,Aluminum Sheet E,Jul,2025,115,2702.52
SKU-006,Rubber Gasket F,Jul,2025,397,32280.71
SKU-007,Circuit Board G,Jul,2025,132,11161.8
SKU-008,Motor Assembly H,Jul,2025,151,7997.0
SKU-009,Valve Kit I,Jul,2025,316,17840.74
SKU-010,Filter Element J,Jul,2025,427,12324.21
SKU-011,Gear Box K,Jul,2025,374,14988.95
SKU-012,Conveyor Belt L,Jul,2025,330,11239.17
SKU-013,Sensor Module M,Jul,2025,411,34637.96
SKU-014,Control Panel N,Jul,2025,254,13646.31
SKU-015,Pneumatic Cylinder O,Jul,2025,118,6690.39
SKU-016,Heat Exchanger P,Jul,2025,140,11368.04
SKU-017,Compressor Unit Q,Jul,2025,200,11569.97
SKU-018,Drive Belt R,Jul,2025,232,14008.4
SKU-019,Lubricant Oil S,Jul,2025,172,5141.12
SKU-020,Safety Valve T,Jul,2025,390,6997.46
SKU-001,Industrial Bearing A,Aug,2025,90,3790.58
SKU-002,Hydraulic Pump B,Aug,2025,431,20071.09
SKU-003,Steel Plate C,Aug,2025,107,3133.18
SKU-004,Copper Wire D,Aug,2025,251,15930.12
SKU-005,Aluminum Sheet E,Aug,2025,350,6181.19
SKU-006,Rubber Gasket F,Aug,2025,223,17724.83
SKU-007,Circuit Board G,Aug,2025,449,24811.63
SKU-008,Motor Assembly H,Aug,2025,203,8794.48
SKU-009,Valve Kit I,Aug,2025,402,11577.07
SKU-010,Filter Element J,Aug,2025,175,13712.97
SKU-011,Gear Box K,Aug,2025,170,3005.13
SKU-012,Conveyor Belt L,Aug,2025,184,12873.67
SKU-013,Sensor Module M,Aug,2025,431,28790.56
SKU-014,Control Panel N,Aug,2025,416,32983.17
SKU-015,Pneumatic Cylinder O,Aug,2025,341,7336.83
SKU-016,Heat Exchanger P,Aug,2025,263,16629.67
SKU-017,Compressor Unit Q,Aug,2025,245,11952.14
SKU-018,Drive Belt R,Aug,2025,372,16456.36
SKU-019,Lubricant Oil S,Aug,2025,433,6663.83
SKU-020,Safety Valve T,Aug,2025,338,22224.75
SKU-001,Industrial Bearing A,Sep,2025,453,13885.21
SKU-002,Hydraulic Pump B,Sep,2025,146,4248.16
SKU-003,Steel Plate C,Sep,2025,436,24008.96
SKU-004,Copper Wire D,Sep,2025,104,8836.78
SKU-005,Aluminum Sheet E,Sep,2025,253,13732.31
SKU-006,Rubber Gasket F,Sep,2025,197,9182.43
SKU-007,Circuit Board G,Sep,2025,356,28093.84
SKU-008,Motor Assembly H,Sep,2025,200,16955.71
SKU-009,Valve Kit I,Sep,2025,353,20658.23
SKU-010,Filter Element J,Sep,2025,386,31944.01
SKU-011,Gear Box K,Sep,2025,373,14072.24
SKU-012,Conveyor Belt L,Sep,2025,291,10411.03
SKU-013,Sensor Module M,Sep,2025,155,11576.28
SKU-014,Control Panel N,Sep,2025,289,12237.49
SKU-015,Pneumatic Cylinder O,Sep,2025,388,12957.57
SKU-016,Heat Exchanger P,Sep,2025,332,23732.53
SKU-017,Compressor Unit Q,Sep,2025,421,6382.59
SKU-018,Drive Belt R,Sep,2025,145,5118.86
SKU-019,Lubricant Oil S,Sep,2025,285,5957.73
SKU-020,Safety Valve T,Sep,2025,333,25043.6
SKU-001,Industrial Bearing A,Oct,2025,96,5777.32
SKU-002,Hydraulic Pump B,Oct,2025,431,19823.11
SKU-003,Steel Plate C,Oct,2025,129,3366.87
SKU-004,Copper Wire D,Oct,2025,320,18445.11
SKU-005,Aluminum Sheet E,Oct,2025,405,23426.06
SKU-006,Rubber Gasket F,Oct,2025,128,3489.02
SKU-007,Circuit Board G,Oct,2025,436,9591.33
SKU-008,Motor Assembly H,Oct,2025,274,12128.18
SKU-009,Valve Kit I,Oct,2025,396,8436.14
SKU-010,Filter Element J,Oct,2025,472,33252.52
SKU-011,Gear Box K,Oct,2025,194,6795.7
SKU-012,Conveyor Belt L,Oct,2025,105,5516.51
SKU-013,Sensor Module M,Oct,2025,153,4404.99
SKU-014,Control Panel N,Oct,2025,166,7628.53
SKU-015,Pneumatic Cylinder O,Oct,2025,169,10048.56
SKU-016,Heat Exchanger P,Oct,2025,191,9288.75
SKU-017,Compressor Unit Q,Oct,2025,276,13632.53
SKU-018,Drive Belt R,Oct,2025,264,11252.49
SKU-019,Lubricant Oil S,Oct,2025,395,33009.26
SKU-020,Safety Valve T,Oct,2025,246,11221.79
SKU-001,Industrial Bearing A,Nov,2025,192,7739.52
SKU-002,Hydraulic Pump B,Nov,2025,483,23834.83
SKU-003,Steel Plate C,Nov,2025,186,13976.4
SKU-004,Copper Wire D,Nov,2025,276,18911.23
SKU-005,Aluminum Sheet E,Nov,2025,365,13556.45
SKU-006,Rubber Gasket F,Nov,2025,424,13512.89
SKU-007,Circuit Board G,Nov,2025,101,3333.59
SKU-008,Motor Assembly H,Nov,2025,290,21232.93
SKU-009,Valve Kit I,Nov,2025,471,39997.52
SKU-010,Filter Element J,Nov,2025,413,31070.57
SKU-011,Gear Box K,Nov,2025,385,19845.63
SKU-012,Conveyor Belt L,Nov,2025,320,11712.61
SKU-013,Sensor Module M,Nov,2025,448,17851.78
SKU-014,Control Panel N,Nov,2025,305,23041.57
SKU-015,Pneumatic Cylinder O,Nov,2025,253,13650.7
SKU-016,Heat Exchanger P,Nov,2025,249,18565.67
SKU-017,Compressor Unit Q,Nov,2025,363,5686.19
SKU-018,Drive Belt R,Nov,2025,403,25642.5
SKU-019,Lubricant Oil S,Nov,2025,344,13928.8
SKU-020,Safety Valve T,Nov,2025,196,9488.62
SKU-001,Industrial Bearing A,Dec,2025,127,2749.91
SKU-002,Hydraulic Pump B,Dec,2025,495,18101.96
SKU-003,Steel Plate C,Dec,2025,169,12823.52
SKU-004,Copper Wire D,Dec,2025,395,7792.99
SKU-005,Aluminum Sheet E,Dec,2025,405,5513.14
SKU-006,Rubber Gasket F,Dec,2025,198,8360.24
SKU-007,Circuit Board G,Dec,2025,206,3692.56
SKU-008,Motor Assembly H,Dec,2025,278,10298.7
SKU-009,Valve Kit I,Dec,2025,366,21818.42
SKU-010,Filter Element J,Dec,2025,321,23848.61
SKU-011,Gear Box K,Dec,2025,457,18303.16
SKU-012,Conveyor Belt L,Dec,2025,313,18136.14
SKU-013,Sensor Module M,Dec,2025,426,32268.55
SKU-014,Control Panel N,Dec,2025,127,7272.76
SKU-015,Pneumatic Cylinder O,Dec,2025,259,15089.13
SKU-016,Heat Exchanger P,Dec,2025,294,24935.13
SKU-017,Compressor Unit Q,Dec,2025,163,7165.96
SKU-018,Drive Belt R,Dec,2025,168,11361.3
SKU-019,Lubricant Oil S,Dec,2025,169,7548.67
SKU-020,Safety Valve T,Dec,2025,301,23477.47
